name,count,total_ms,mean_us,category_time_pct
cudaMemcpyAsync,305,35.89660700000001,117.69379344262299,74.57601036933053
cudaGraphLaunch,185,5.880784,31.788021621621624,12.217461348472098
cudaLaunchKernel,480,3.753374,7.819529166666666,7.7977191087719095
cudaLaunchKernelExC,180,1.2333899999999993,6.852166666666664,2.562395533077221
cudaFuncSetAttribute,180,0.2788189999999999,1.5489944444444437,0.5792527587681574
cudaMalloc,1,0.19535,195.35,0.40584402937159814
cudaDeviceSynchronize,1,0.171983,171.983,0.35729856003796034
cudaDeviceGetAttribute,385,0.166666,0.4328987012987013,0.3462523726605926
cudaStreamIsCapturing,166,0.140506,0.8464216867469879,0.29190438285582676
cudaEventQuery,65,0.11010300000000003,1.6938923076923083,0.22874146488815497
cudaEventRecordWithFlags,65,0.08903600000000002,1.3697846153846156,0.18497429741044083
cudaMemsetAsync,5,0.076401,15.280199999999999,0.15872480004105177
cudaStreamSynchronize,30,0.070338,2.3446,0.14612878084432795
cudaPointerGetAttributes,5,0.037462,7.492400000000001,0.07782814962026521
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,15,0.028855,1.9236666666666666,0.05994691306638066
cudaPeekAtLastError,60,0.004581000000000003,0.07635000000000004,0.009517130783472187
