name,count,total_ms,mean_us,category_time_pct
cudaEventSynchronize,4,26.496542,6624.1355,51.10937933793219
cudaDeviceSynchronize,1,12.81675,12816.75,24.72232556344305
cudaGraphLaunch,113,5.457926000000002,48.300230088495596,10.527834550348608
cudaLaunchKernel,398,2.905719,7.300801507537688,5.604863254247931
cudaMemcpyAsync,179,2.1154669999999993,11.81825139664804,4.080540222187384
cudaLaunchKernelExC,110,0.7405469999999997,6.732245454545452,1.4284466833659901
cudaStreamIsCapturing,119,0.3319589999999998,2.789571428571427,0.6403182141896335
cudaMalloc,1,0.21129900000000001,211.299,0.40757623182397673
cudaFuncSetAttribute,144,0.17373999999999998,1.2065277777777776,0.3351283939682521
cudaEventQuery,71,0.12234599999999998,1.723183098591549,0.23599412045838478
cudaDeviceGetAttribute,277,0.11052100000000008,0.39899277978339376,0.21318478893614146
cudaEventRecordWithFlags,51,0.08015899999999998,1.5717450980392151,0.15461929856165024
cudaMemsetAsync,5,0.068258,13.651599999999998,0.1316633700672554
cudaMemGetInfo,1,0.06423000000000001,64.23,0.12389373054323032
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFlags,47,0.057214999999999995,1.217340425531915,0.11036244423214887
cudaStreamWaitEvent,15,0.031555,2.103666666666667,0.060866677055762604
cudaStreamSynchronize,15,0.026232000000000002,1.7488000000000001,0.05059910228257851
cudaPointerGetAttributes,2,0.018723,9.3615,0.03611493565251286
cudaEventRecord,5,0.010372,2.0744,0.020006628883611783
cudaPeekAtLastError,44,0.003257,0.07402272727272728,0.006282451819699535
