name,count,total_ms,mean_us,category_time_pct
sglang::unified_attention_with_output,108,42.27968899999996,391.4786018518515,55.0461730513645
aten::copy_,331,6.083754999999997,18.379924471299084,7.9207638100673865
aten::slice,904,3.880109999999999,4.2921570796460164,5.0517213245899235
aten::clone,113,3.702249999999997,32.76327433628316,4.8201559424766405
aten::contiguous,108,3.6463759999999987,33.76274074074073,4.747410613790049
sglang::store_cache,108,2.946295999999999,27.28051851851851,3.8359392727922645
aten::to,140,1.9458900000000008,13.899214285714292,2.5334575587564
aten::view,1014,1.8956119999999996,1.8694398422090726,2.4679979597353054
aten::empty,276,1.8487229999999988,6.698271739130431,2.4069506798415135
aten::_to_copy,65,1.769283,27.21973846153846,2.303523523903816
aten::empty_like,112,1.0334799999999997,9.227499999999997,1.3455425115620936
aten::as_strided,954,0.7939660000000011,0.8322494758909864,1.0337065117224435
aten::cumsum,13,0.7375170000000001,56.732076923076924,0.9602125599912343
aten::empty_strided,74,0.4694870000000001,6.34441891891892,0.6112500649511872
aten::sub,28,0.425659,15.202107142857143,0.5541880635609875
aten::index_put_,15,0.38683100000000004,25.788733333333333,0.5036358277761315
aten::_index_put_impl_,15,0.31863100000000005,21.24206666666667,0.41484262491924523
aten::argmax,5,0.285164,57.032799999999995,0.37127015981643857
aten::add,22,0.263845,11.992954545454545,0.34351382122837465
aten::index,7,0.26218400000000003,37.45485714285714,0.3413512770942796
aten::matmul,3,0.24358100000000002,81.19366666666667,0.3171310431830383
aten::mm,3,0.233855,77.95166666666667,0.304468247127524
aten::pin_memory,2,0.19101400000000002,95.507,0.24869127346781925
aten::_foreach_copy_,5,0.159799,31.9598,0.20805080679365934
aten::select,18,0.127706,7.094777777777777,0.1662672252792011
aten::_pin_memory,2,0.106863,53.4315,0.13913061637676594
aten::sum,4,0.096047,24.01175,0.1250486914192867
aten::max,6,0.081065,13.510833333333332,0.10554282975943526
aten::mul,5,0.061261,12.2522,0.07975895014979045
aten::reshape,25,0.059512000000000016,2.3804800000000004,0.07748183414104129
aten::is_pinned,2,0.055125999999999994,27.563,0.0717714677520339
aten::item,20,0.054743999999999994,2.7371999999999996,0.07127412165978564
aten::detach_,28,0.054555,1.948392857142857,0.07102805251990366
aten::unbind,6,0.04629300000000001,7.715500000000001,0.06027131583363395
aten::clamp,5,0.041528999999999996,8.3058,0.05406881116486259
aten::numpy_T,3,0.03687,12.29,0.04800301157380346
aten::record_stream,5,0.034703,6.940599999999999,0.04518167916044755
aten::permute,3,0.026448999999999997,8.816333333333333,0.0344353580991464
detach_,28,0.022613000000000005,0.807607142857143,0.029441065926726823
aten::add_,2,0.020482,10.241,0.026666603825729385
aten::_local_scalar_dense,20,0.01832600000000001,0.9163000000000003,0.02385959289670525
aten::lift_fresh,36,0.016407000000000005,0.4557500000000001,0.021361144857374385
aten::ones,2,0.016054000000000002,8.027000000000001,0.02090155540563713
aten::fill_,10,0.010513999999999999,1.0514,0.013688735114916452
aten::resolve_conj,6,0.008541,1.4235,0.011119981607047882
aten::set_,2,0.007718,3.859,0.010048474188408329
aten::resolve_neg,6,0.001306,0.21766666666666667,0.0017003507761157396
